,Version,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,R_warm,dR_warm,PSI
0,0.1.1,0.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,,,,
1,0.1.1,1.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.99999999999998,33.999999999999446,33.99999999998924,33.999999999835204,33.99999999795494,33.99999997906763,33.99999982097009,33.99999870827674,33.99999208180451,33.99995854209377,33.99981383708742,33.999280651492604,33.997600690059166,33.993069051121964,33.98258575948861,33.96172146007302,33.92579096558475,33.99132183584974,-0.00043390820751305627,1.4966664792848547,,
2,0.1.1,2.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.99999999999997,33.99999999999979,33.999999999998266,33.999999999987295,33.999999999914486,33.9999999994713,33.9999999969949,33.99999998428054,33.99999992425671,33.99999966355948,33.99999862149791,33.99999478706806,33.99998179666676,33.999941274316775,33.99982487739101,33.99951698695104,33.998766878485,33.99708322769168,33.99359982217719,33.98695101097566,33.97522833644608,33.95610088657233,33.9271437001961,33.886327580439755,33.97204042813379,-0.0009640703857975553,0.8643220241743137,-0.632344455110541,
3,0.1.1,3.0,0.05,34.0,34.0,34.0,34.0,34.0,34.0,33.99999999999999,33.99999999999994,33.99999999999966,33.99999999999815,33.99999999999057,33.99999999995451,33.99999999979231,33.99999999910205,33.99999999632306,33.99999998573725,33.99999994758333,33.99999981746578,33.99999939760073,33.99999811571834,33.99999441287961,33.99998429352817,33.999958130449684,33.99989413646534,33.99974605045076,33.99942182637684,33.99875009811407,33.99743287849256,33.994987270215645,33.9906860774017,33.98351558480439,33.9721747795325,33.9551390412364,33.93079914813947,33.89766402950516,33.854589841638855,33.951082392386915,-0.0010479017873436193,0.7285147829489773,-0.13580724122533638,
4,0.1.1,4.0,0.05,34.0,34.0,33.99999999999998,33.9999999999999,33.99999999999955,33.99999999999807,33.999999999991964,33.999999999967926,33.999999999877225,33.99999999954908,33.9999999984108,33.99999999462498,33.99999998255301,33.99999994564783,33.99999983748705,33.99999953360466,33.99999871518751,33.99999660238597,33.9999913743109,33.999978974556576,33.999950786295244,33.99988936594276,33.999761085129194,33.9995042539168,33.99901128438295,33.99810398596789,33.99650245153904,33.99379033369349,33.98938240211995,33.982503366881375,33.972188794780216,33.95731809930065,33.936685049813164,33.90910316946263,33.87353348301511,33.829213368744746,33.93208806975474,-0.0009497161316087244,0.8004940721077105,0.0719792891587332,
5,0.1.1,5.0,0.05,33.99999999999979,33.999999999998934,33.999999999996014,33.99999999998584,33.99999999995138,33.99999999983851,33.99999999948126,33.99999999838835,33.999999995156855,33.99999998592277,33.999999960422464,33.99999989237072,33.99999971687847,33.99999927957256,33.99999822662409,33.99999577693179,33.99999027024467,33.99997831000105,33.99995321065781,33.999902316702034,33.999802599827795,33.99961380215945,33.999268349399436,33.99865741163984,33.997612956847604,33.99588650948756,33.99312659166568,33.9888583305994,33.982470119177,33.97321301083449,33.96021816913718,33.94253578558798,33.91919541252826,33.889283143733984,33.85202653200354,33.806874850769155,33.914210034395886,-0.0008939017679427508,0.8272500886958909,0.026756016588180387,
6,0.1.1,6.0,0.05,33.99999999998923,33.99999999995284,33.99999999985373,33.999999999570015,33.99999999877391,33.99999999660138,33.99999999083997,33.99999997599422,33.99999993882631,33.99999984841711,33.999999634757124,33.999999144200736,33.99999804999025,33.999995678875386,33.99999068726474,33.999980478682566,33.99996019572432,33.99992104427481,33.99984762155725,33.99971383845782,33.99947697932035,33.99906947149932,33.99838809413565,33.99728069010328,33.99553098385646,33.992842830954444,33.98882604271983,33.98298667323137,33.974725093663245,33.963345062572834,33.94807614047265,33.928110146833866,33.9026500804037,33.870967404617424,33.83246138698399,33.78671285548066,33.89736963443932,-0.0008420199978282028,0.8516768713110566,0.024426782615165732,
7,0.1.1,7.0,0.05,33.99999999981287,33.999999999249724,33.99999999795268,33.99999999474831,33.999999986914894,33.99999996819806,33.99999992456462,33.99999982534513,33.99999960528507,33.99999912924543,33.99999812486784,33.999996058061974,33.999991909951255,33.99998379004485,33.99996828735642,33.99993941865106,33.99988698319043,33.99979408263,33.99963352518886,33.99936282353514,33.998917540487945,33.998202862519285,33.997083510776335,33.99537244161911,33.992819227131456,33.98909949007696,33.983807209342224,33.97645199315288,33.96646341093539,33.95320407595873,33.93599233529246,33.91413419895889,33.88696268097483,33.85388127918528,33.81440718560086,33.76820927320315,33.881449114009904,-0.0007960260214709081,0.8713490839723904,0.019672212661333788,
8,0.1.1,8.0,0.05,33.999999998353786,33.99999999378833,33.999999984552694,33.99999996422059,33.99999991952153,33.999999823033434,33.9999996191483,33.99999919764902,33.999998345209534,33.99999665874513,33.99999339484401,33.999987215454865,33.99997577065947,33.99995503430278,33.9999182781595,33.99985453771466,33.99974639271753,33.99956686692922,33.99927525582203,33.998811732841666,33.9980906789764,33.99699283813309,33.99535662511163,33.992969192857544,33.989558172032375,33.98478528013663,33.97824319482957,33.96945712559926,33.95789233696006,33.94296843903296,33.924080575640176,33.900626768300306,33.87203973285112,33.83782062891579,33.79757159725589,33.75102372780644,33.8663365488619,-0.0007556282574000761,0.8863694494357192,0.015020365463328744,
9,0.1.1,9.0,0.05,33.99999999087468,33.99999996703579,33.999999923518075,33.99999983624914,33.999999659993414,33.999999308917076,33.999998622394834,33.99999730570723,33.99999482943281,33.99999026289569,33.99998200540038,33.99996736378644,33.99994190615482,33.999898500393115,33.99982592457588,33.999706918345126,33.99951553582438,33.99921366915215,33.998746646162054,33.99803787468195,33.996982615584926,33.99544111819396,33.99323153802027,33.99012326094696,33.9858314516916,33.980013790183904,33.97227041514447,33.962148020201056,33.94914881711174,33.93274468763542,33.91239631382394,33.88757646085784,33.857795968877085,33.82263048808219,33.78174566083107,33.73491839082097,33.85193505541127,-0.0007200746725317231,0.8973864775870055,0.011017028151286357,
